year,race_date,race_name,track_name,driver_name,car_number,finish_position,starting_position,laps_completed,laps_led,status,manufacturer,avg_finish_last_5,avg_finish_at_track,wins_at_track,poles_at_track,season_wins,season_top5s,season_top10s,avg_running_position
2022,2/27/2022,February Auto Club,Autoclub Speedway,Alex Bowman,48,25,14,200,0,Running,Chevrolet,24.0,15.0,0,0,0,0,0,24.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Aric Almirola,10,6,31,200,0,Running,Ford,5.0,15.0,0,0,0,1,1,5.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Austin Cindric,2,12,1,200,0,Running,Ford,1.0,15.0,0,0,1,1,1,1.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Austin Dillon,3,2,16,200,0,Running,Chevrolet,25.0,15.0,0,0,0,0,0,25.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,BJ McLeod,78,22,30,200,0,Running,Chevrolet,27.0,15.0,0,0,0,0,0,27.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Brad Keselowski,6,27,9,200,0,Running,Ford,9.0,15.0,0,0,0,0,1,9.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Bubba Wallace,23,19,34,200,0,Running,Toyota,2.0,15.0,0,0,0,1,1,2.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Chase Briscoe,14,16,24,200,20,Running,Ford,3.0,15.0,0,0,0,1,1,3.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Chase Elliott,9,26,8,200,12,Running,Chevrolet,10.0,15.0,0,0,0,0,1,10.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Chris Buescher,17,35,20,200,0,Running,Ford,16.0,15.0,0,0,0,0,0,16.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Christopher Bell,20,36,19,200,0,Running,Toyota,34.0,15.0,0,0,0,0,0,34.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Cody Ware,51,32,27,200,0,Running,Ford,17.0,15.0,0,0,0,0,0,17.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Cole Custer,41,11,21,200,0,Running,Ford,20.0,15.0,0,0,0,0,0,20.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Corey LaJoie,7,28,25,200,0,Running,Chevrolet,14.0,15.0,0,0,0,0,0,14.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Daniel Hemric,16,9,5,200,0,Running,Chevrolet,12.0,15.0,0,0,0,0,0,12.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Daniel Suarez,99,4,15,200,0,Running,Chevrolet,18.0,15.0,0,0,0,0,0,18.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Denny Hamlin,11,15,4,200,0,Running,Toyota,37.0,15.0,0,0,0,0,0,37.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Erik Jones,43,3,2,200,18,Running,Chevrolet,29.0,15.0,0,0,0,0,0,29.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Garrett Smithley,15,21,29,200,0,Running,Chevrolet,15.0,15.0,0,0,0,0,0,15.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Harrison Burton,21,33,22,200,0,Running,Ford,39.0,15.0,0,0,0,0,0,39.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Joey Logano,22,5,7,200,14,Running,Ford,21.0,15.0,0,0,0,0,0,21.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Josh Bilicki,77,30,28,200,0,Running,Chevrolet,15.0,15.0,0,0,0,0,0,15.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Justin Haley,31,23,35,200,0,Running,Chevrolet,23.0,15.0,0,0,0,0,0,23.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Kevin Harvick,4,7,32,200,1,Running,Ford,30.0,15.0,0,0,0,0,0,30.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Kurt Busch,45,8,36,200,0,Running,Toyota,19.0,15.0,0,0,0,0,0,19.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Kyle Busch,18,14,3,200,0,Running,Toyota,6.0,15.0,0,0,0,0,1,6.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Kyle Larson,5,1,13,200,28,Running,Chevrolet,32.0,15.0,0,0,0,0,0,32.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Martin Truex Jr,19,13,12,200,0,Running,Toyota,13.0,15.0,0,0,0,0,0,13.0
2022,2/27/2022,February Auto Club,Autoclub Speedway,Michael McDowell,34,31,23,200,0,Running,Ford,7.0,15.0,0,0,0,0,1,7.0
